CountryName,SuicideCount,Year,Population,GDP,GDPPerCapita,EmploymentPopulationRatio,Religions
Albania,47,1992,3247039.0,652174990.8,200.8522198,45.315,Islam
Albania,73,1993,3227287.0,1185315468.0,367.2792251,47.798,Islam
Albania,52,1994,3207536.0,1880950864.0,586.4161351,50.086,Islam
Albania,91,1995,3187784.0,2392764853.0,750.6044492,53.186,Islam
Albania,92,1996,3168033.0,3199640815.0,1009.977111,53.039,Islam
Albania,176,1997,3148281.0,2258513974.0,717.3800477,51.873,Islam
Albania,165,1998,3128530.0,2545964541.0,813.7893966,49.373,Islam
Albania,154,1999,3108778.0,3212121651.0,1033.242532,48.201,Islam
Albania,57,2000,3089027.0,3480355258.0,1126.68334,48.925,Islam
Albania,119,2001,3060173.0,3922100794.0,1281.659826,48.76,Islam
Albania,133,2002,3051010.0,4348068242.0,1425.124219,48.943,Islam
Albania,124,2003,3039616.0,5611496257.0,1846.120121,48.608,Islam
Albania,146,2004,3026939.0,7184685782.0,2373.581292,48.118,Islam
Albania,0,2005,3011487.0,8052077248.0,2673.787816,47.416,Islam
Albania,0,2006,2992547.0,8896075005.0,2972.743621,46.701,Islam
Albania,124,2007,2970017.0,10677324853.0,3595.038295,45.606,Islam
Albania,160,2008,2947314.0,12881352894.0,4370.539716,46.243,Islam
Albania,0,2009,2927519.0,12044205550.0,4114.134033,47.473,Islam
Albania,96,2010,2913021.0,11926926616.0,4094.349686,47.422,Islam
Armenia,112,1994,3373713.0,1315158637.0,389.8252865,59.578,Christianity
Armenia,130,1995,3322782.0,1468317435.0,441.8940018,59.147,Christianity
Armenia,87,1996,3298898.0,1596968946.0,484.091641,57.216,Christianity
Armenia,77,1997,3271418.0,1639492445.0,501.1565152,56.033,Christianity
Armenia,66,1998,3240550.0,1893726437.0,584.3842673,56.717,Christianity
Armenia,67,1999,3206030.0,1845482173.0,575.6284792,55.398,Christianity
Armenia,61,2000,3168523.0,1911563669.0,603.2980252,55.273,Christianity
Armenia,60,2001,3133133.0,2118467913.0,676.1500113,55.084,Christianity
Armenia,74,2002,3105037.0,2376335048.0,765.3161777,54.845,Christianity
Armenia,59,2003,3084102.0,2807061009.0,910.1712617,54.596,Christianity
Armenia,78,2006,3026486.0,6384452067.0,2109.526384,54.187,Christianity
Armenia,71,2007,3004393.0,9206301270.0,3064.279963,54.27,Christianity
Armenia,63,2008,2983421.0,11662040714.0,3908.94906,54.037,Christianity
Armenia,53,2009,2964296.0,8647937081.0,2917.366242,54.557,Christianity
Armenia,73,2010,2946293.0,9260285756.0,3143.02948,54.575,Christianity
Armenia,67,2011,2928976.0,10142111825.0,3462.681778,54.481,Christianity
Armenia,79,2012,2914421.0,10619320683.0,3643.715401,54.347,Christianity
Armenia,67,2013,2901385.0,11121464437.0,3833.157074,54.262,Christianity
Armenia,58,2014,2889930.0,11609513247.0,4017.229914,54.165,Christianity
Armenia,74,2015,2878595.0,10553337518.0,3666.141822,54.069,Christianity
Armenia,67,2016,2865835.0,10546136236.0,3679.952347,53.979,Christianity
Armenia,44,2017,2851923.0,11527458709.0,4041.995071,53.807,Christianity
Armenia,59,2018,2836557.0,12457940695.0,4391.92327,53.592,Christianity
Armenia,49,2019,2820602.0,13619290539.0,4828.504886,55.218,Christianity
Armenia,41,2020,2805608.0,12641698583.0,4505.867742,54.556,Christianity
Armenia,53,2021,2790974.0,13878908629.0,4972.783204,56.445,Christianity
Armenia,47,2022,2780469.0,19513474648.0,7018.051504,56.548,Christianity
Armenia,37,2023,2790000.0,19600000000.0,7020.0,56.7,Christianity
Australia,2288,1991,17284036.0,326000000000.0,18859.40796,57.094,Christianity
Australia,2252,1992,17478635.0,326000000000.0,18623.79174,56.124,Christianity
Australia,2039,1993,17634808.0,312000000000.0,17699.55774,55.664,Christianity
Australia,2283,1994,17805468.0,323000000000.0,18129.40219,56.831,Christianity
Australia,2170,1995,18004882.0,368000000000.0,20448.12197,58.167,Christianity
Australia,2426,1996,18224767.0,401000000000.0,22021.78391,58.124,Christianity
Australia,2646,1997,18423037.0,436000000000.0,23646.62305,57.846,Christianity
Australia,2633,1998,18607584.0,400000000000.0,21479.1142,58.171,Christianity
Australia,2488,1999,18812264.0,390000000000.0,20712.66978,58.451,Christianity
Australia,2392,2000,19028802.0,416000000000.0,21870.41597,59.178,Christianity
Australia,2459,2001,19274701.0,380000000000.0,19695.72974,59.037,Christianity
Australia,2319,2002,19495210.0,396000000000.0,20301.84317,59.336,Christianity
Australia,2156,2003,19720737.0,468000000000.0,23718.13385,59.829,Christianity
Australia,2114,2004,19932722.0,615000000000.0,30836.73068,60.043,Christianity
Australia,2118,2006,20450966.0,748000000000.0,36595.70715,61.677,Christianity
Australia,2229,2007,20827622.0,855000000000.0,41051.61207,62.344,Christianity
Australia,2341,2008,21249199.0,1060000000000.0,49701.28178,62.713,Christianity
Australia,2337,2009,21691653.0,929000000000.0,42816.5674,61.804,Christianity
Australia,2420,2010,22031750.0,1150000000000.0,52147.02419,62.002,Christianity
Australia,2393,2011,22340024.0,1400000000000.0,62609.66072,62.116,Christianity
Australia,2580,2012,22733465.0,1550000000000.0,68078.04423,61.762,Christianity
Australia,2610,2013,23128129.0,1580000000000.0,68198.41934,61.283,Christianity
Australia,2922,2014,23475686.0,1470000000000.0,62558.24388,60.785,Christianity
Australia,3093,2015,23815995.0,1350000000000.0,56758.8692,61.07,Christianity
Australia,2909,2016,24190907.0,1210000000000.0,49918.79393,61.175,Christianity
Australia,3290,2017,24592588.0,1330000000000.0,53954.55349,61.536,Christianity
Australia,3205,2018,24963258.0,1430000000000.0,57273.52048,62.161,Christianity
Australia,3358,2019,25334826.0,1390000000000.0,55049.57192,62.547,Christianity
Australia,3139,2020,25649248.0,1330000000000.0,51868.24756,60.829,Christianity
Australia,3144,2021,25685412.0,1560000000000.0,60697.24544,62.478,Christianity
Australia,3249,2022,26005540.0,1690000000000.0,65099.84591,63.699,Christianity
